rank,word,freq,reason,subtype,all_reasons,engine_ipa,engine_guess,candidates,question,verdict
1,א,49351,alef-default,alef-vowel,alef-default,a,a,a | u,the unpointed א: a (a as in 'father') or u (u as in 'put')? — or an o (o as in 'law')?,
2,אייבערשטער,3129,alef-default,alef-silent,alef-default,ˈajbərʃtər,AYbershter,,we say **AYbershter** — right?,
3,פלעגט,1645,pe-default,pe-default,pe-default,flɛɡt,flegt,flegt | plegt,the פ: f (flegt) or p (plegt)?,
4,סאך,1400,alef-default,alef-vowel,alef-default,sax,sakh,sakh | sukh,the unpointed א: sakh (a as in 'father') or sukh (u as in 'put')? — or an o (o as in 'law')?,
5,דעמאלטס,1255,alef-default,alef-vowel,alef-default,dˈɛmalʦ,DEmalts,DEmalts | DEmults,the unpointed א: DEmalts (a as in 'father') or DEmults (u as in 'put')? — or an o (o as in 'law')?,
6,סא,1238,alef-default,alef-final,alef-default,sa,sa,se | sa | su,"the א at the end: se (…-e), sa (…-a), su (…-u) — or silent (sa)?",
7,אינטערעסאנטע,1095,alef-default,alef-vowel,alef-default,ˈintərəsantə,Interesante,Interesante | Interesunte,the unpointed א: Interesante (a as in 'father') or Interesunte (u as in 'put')? — or an o (o as in 'law')?,
8,געפרעגט,1066,pe-default,pe-default,pe-default,ɡəfrˈɛɡt,geFREgt,geFREgt | gePREgt,the פ: f (geFREgt) or p (gePREgt)?,
9,אזעלכע,1001,alef-default,alef-vowel,alef-default,azˈɛlxə,aZElkhe,aZElkhe | Uzelkhe,the unpointed א: aZElkhe (a as in 'father') or Uzelkhe (u as in 'put')? — or an o (o as in 'law')?,
10,פרעגט,996,pe-default,pe-default,pe-default,frɛɡt,fregt,fregt | pregt,the פ: f (fregt) or p (pregt)?,
11,יארצייט,940,alef-default,alef-vowel,alef-default,jˈarʦajt,yArtsayt,yArtsayt | yUrtsayt,the unpointed א: yArtsayt (a as in 'father') or yUrtsayt (u as in 'put')? — or an o (o as in 'law')?,
12,איי,884,alef-default,alef-silent,alef-default,aj,ay,,we say **ay** — right?,
13,אינטערעסאנט,874,alef-default,alef-vowel,alef-default,intərəsˈant,intereSAnt,intereSAnt | Interesunt,the unpointed א: intereSAnt (a as in 'father') or Interesunt (u as in 'put')? — or an o (o as in 'law')?,
14,אייבערשטן,871,alef-default,alef-silent,alef-default,ˈajbərʃtn,AYbershtn,,we say **AYbershtn** — right?,
15,פארציילט,788,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʦˈajlt,faRTSAYlt,faRTSAYlt | FUrtsaylt | PArtsaylt,the unpointed א: faRTSAYlt (a as in 'father') or FUrtsaylt (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRTSAYlt) or p (PArtsaylt)?,
16,מוראדיגע,757,alef-default,alef-vowel,alef-default,mˈiradiɡə,MIradige,MIradige | MIrudige,the unpointed א: MIradige (a as in 'father') or MIrudige (u as in 'put')? — or an o (o as in 'law')?,
17,מוראדיקע,723,alef-default,alef-vowel,alef-default,mˈiradikə,MIradike,MIradike | MIrudike,the unpointed א: MIradike (a as in 'father') or MIrudike (u as in 'put')? — or an o (o as in 'law')?,
18,אל,716,alef-default,alef-vowel,alef-default,al,al,al | ul,the unpointed א: al (a as in 'father') or ul (u as in 'put')? — or an o (o as in 'law')?,
19,אבל,686,alef-default,alef-vowel,alef-default,abl,abl,abl | ubl,the unpointed א: abl (a as in 'father') or ubl (u as in 'put')? — or an o (o as in 'law')?,
20,דוא,653,alef-default,alef-final,alef-default,dˈia,DIA,die | dia | diu | di,"the א at the end: die (…-e), dia (…-a), diu (…-u) — or silent (di)?",
21,קשיא,652,alef-default,alef-final,alef-default,kʃˈia,KSHIA,kshie | kshia | kshiu | kshi,"the א at the end: kshie (…-e), kshia (…-a), kshiu (…-u) — or silent (kshi)?",
22,באקאנטע,636,alef-default,alef-vowel,alef-default,bakˈantə,baKAnte,baKAnte | BUkunte,the unpointed א: baKAnte (a as in 'father') or BUkunte (u as in 'put')? — or an o (o as in 'law')?,
23,אבינו,617,alef-default,alef-vowel,alef-default,ˈabini,Abini,Abini | Ubini,the unpointed א: Abini (a as in 'father') or Ubini (u as in 'put')? — or an o (o as in 'law')?,
24,בא,600,alef-default,alef-final,alef-default,ba,ba,be | ba | bu,"the א at the end: be (…-e), ba (…-a), bu (…-u) — or silent (ba)?",
25,אה,599,alef-default,alef-vowel,alef-default,a,a,,"the unpointed א — a, u or o?",
26,סופר,597,pe-default,pe-default,pe-default,sifr,sifr,sifr | sipr,the פ: f (sifr) or p (sipr)?,
27,אשר,581,alef-default,alef-vowel,alef-default,aʃr,ashr,ashr | ushr,the unpointed א: ashr (a as in 'father') or ushr (u as in 'put')? — or an o (o as in 'law')?,
28,הוא,576,alef-default,alef-final,alef-default,hˈia,HIA,hie | hia | hiu | hi,"the א at the end: hie (…-e), hia (…-a), hiu (…-u) — or silent (hi)?",
29,איש,549,alef-default,alef-silent,alef-default,iʃ,ish,,we say **ish** — right?,
30,מה,531,oov-lk,oov-lk,lk-fallback,mɛ,me,me,our guess: me? How do you say it?,
31,חתם,527,oov-lk,oov-lk,lk-fallback,xsm,khsm,khsm | khesem,our guess: khsm — or khesem? How do you say it?,
32,באקאנט,522,alef-default,alef-vowel,alef-default,bakˈant,baKAnt,baKAnt | BUkunt,the unpointed א: baKAnt (a as in 'father') or BUkunt (u as in 'put')? — or an o (o as in 'law')?,
33,וואייל,514,alef-default,alef-vowel,alef-default,vˈaajl,VAAYl,,"the unpointed א — a, u or o?",
34,טאן,493,alef-default,alef-vowel,alef-default,tan,tan,tan | tun,the unpointed א: tan (a as in 'father') or tun (u as in 'put')? — or an o (o as in 'law')?,
35,גאנצן,492,alef-default,alef-vowel,alef-default,ɡanʦn,gantsn,gantsn | guntsn,the unpointed א: gantsn (a as in 'father') or guntsn (u as in 'put')? — or an o (o as in 'law')?,
36,גאון,480,alef-default,alef-vowel,alef-default,ɡin,gin,GAIn | GUIn,the unpointed א: GAIn (a as in 'father') or GUIn (u as in 'put')? — or an o (o as in 'law')?,
37,פיר,476,pe-default,pe-default,pe-default,fir,fir,fir | pir,the פ: f (fir) or p (pir)?,
38,דאווענען,474,alef-default,alef-vowel,alef-default,dˈavənən,DAvenen,DAvenen | DUvenen,the unpointed א: DAvenen (a as in 'father') or DUvenen (u as in 'put')? — or an o (o as in 'law')?,
39,מורא,464,alef-default,alef-final,alef-default,mˈira,MIra,mire | mira | miru | mir,"the א at the end: mire (…-e), mira (…-a), miru (…-u) — or silent (mir)?",
40,אם,449,alef-default,alef-vowel,alef-default,am,am,am | um,the unpointed א: am (a as in 'father') or um (u as in 'put')? — or an o (o as in 'law')?,
41,פרעגן,448,pe-default,pe-default,pe-default,frɛɡn,fregn,fregn | pregn,the פ: f (fregn) or p (pregn)?,
42,געהאלטן,447,alef-default,alef-vowel,alef-default,ɡəhˈaltn,geHAltn,geHAltn | geHUltn,the unpointed א: geHAltn (a as in 'father') or geHUltn (u as in 'put')? — or an o (o as in 'law')?,
43,מצות,446,oov-lk,oov-lk,lk-fallback,mʦis,mtsis,mtsis | metsis,our guess: mtsis — or metsis? How do you say it?,
44,אויגן,434,alef-default,alef-silent,alef-default,ɔjɡn,oygn,,we say **oygn** — right?,
45,בגימטריא,434,alef-default,alef-final,alef-default,bɡˈimtria,BGImtria,BGImtrie | BGImtria | BGImtriu | BGImtri,"the א at the end: BGImtrie (…-e), BGImtria (…-a), BGImtriu (…-u) — or silent (BGImtri)?",
46,אור,420,alef-default,alef-silent,alef-default,ir,ir,,we say **ir** — right?,
47,אנגעקומען,403,alef-default,alef-vowel,alef-default,ˈanɡəkimən,Angekimen,Angekimen | Ungekimen,the unpointed א: Angekimen (a as in 'father') or Ungekimen (u as in 'put')? — or an o (o as in 'law')?,
48,חסיד,397,oov-lk,oov-lk,lk-fallback,xˈusid,KHUsid,KHUsid | khusid,our guess: KHUsid — or khusid? How do you say it?,
49,מאמע,392,alef-default,alef-vowel,alef-default,mˈamə,MAme,MAme | MUme,the unpointed א: MAme (a as in 'father') or MUme (u as in 'put')? — or an o (o as in 'law')?,
50,אייניקל,383,alef-default,alef-silent,alef-default,ˈajnikl,AYnikl,,we say **AYnikl** — right?,
51,אהרן,379,alef-default,alef-vowel,alef-default,arn,arn,arn | urn,the unpointed א: arn (a as in 'father') or urn (u as in 'put')? — or an o (o as in 'law')?,
52,געוואוסט,378,alef-default,alef-vowel,alef-default,ɡəvˈist,geVIst,geVAIst | geVUIst,the unpointed א: geVAIst (a as in 'father') or geVUIst (u as in 'put')? — or an o (o as in 'law')?,
53,אום,376,alef-default,alef-silent,alef-default,im,im,,we say **im** — right?,
