clip_id	split	folder	cat	item	source	start	end	duration	n_words	text	ipa	low_share	has_digits	has_latin	asr_ok	tts_ok
57_166059_0000	train	bulletin_57	57	166059	57_166059_די ניו יארק סיטי פייער דיפארטמענט גייט ארויס שטעלן דעטאלן איבער די געז	1.2	3.75	2.55	4	דינסטאג נצבים-וילך, 12:40 נאכמיטאג.	dˈinstaɡ niʦˈuvim vaˈajiləx, nˈaxmitaɡ.	0.5	True	False	False	False
57_166059_0001	train	bulletin_57	57	166059	57_166059_די ניו יארק סיטי פייער דיפארטמענט גייט ארויס שטעלן דעטאלן איבער די געז	3.7	13.85	10.15	30	די ניו יארק סיטי פייער דעפארטמענט גרייט זיך ארויסצושטעלן באריכטן מיט דעטאלן איבער די לאנג-טערמיניגע געזונטהייט עפעקטן וואס די סעפטעמבער 11 טעראר אטאקע האט איבערגעלאזט אויף פייערלעשער, פאראמעדיקס, און אנדערע.	də nju jɔrk sˈiti fˈajər dəfartmˈɛnt ɡrajt zix arˈoʊsʦiʃtəln barˈixtn mit dˈɛtaln ˈibər də laːnɡ tˈɛrminiɡə ɡəzˈinthaːt ˈɛfəktn vus də sˈɛftəmbər tˈɛrar ˈatakə hut ˈibərɡəlɔzt oʊf fˈajərləʃər, farˈamədiks, in ˈandərə.	0.367	True	False	False	False
57_166059_0002	train	bulletin_57	57	166059	57_166059_די ניו יארק סיטי פייער דיפארטמענט גייט ארויס שטעלן דעטאלן איבער די געז	13.8	23.75	9.95	29	די באריכט איז באזירט אויף פארש ארבעט און מעדיקעל מאניטארינג פון צענדליגער יארן, צו באטראכטן די געזונט צושטאנד פון פירסט רעספאנדערס און ציווילע וואס האבן זיך געפונען אויפ'ן סצענע.	də barˈixt iz bazˈirt oʊf farʃ ˈarbət in mˈɛdikəl mˈanitarinɡ fin ʦəndlˈiɡər jurn, ʦi batrˈaxtn də ɡəzˈint ʦˈiʃtand fin first rˈɛsfandərs in ʦˈivilə vus hubn zix ɡəfˈinən afn sʦˈɛnə.	0.345	False	False	True	False
57_166059_0003	train	bulletin_57	57	166059	57_166059_די ניו יארק סיטי פייער דיפארטמענט גייט ארויס שטעלן דעטאלן איבער די געז	23.7	32.2	8.5	24	לויט די ווארלד טרעיד צענטער העלט פראגראם זענען מער ווי 9,000 מענטשן געשטארבן פון עפעקטן פארבינדן צו די אטאקעס און די נאכפאלגן פון די אטאקעס.	loʊt də varld trajd ʦˈɛntər hɛlt prˈɔɡram zˈɛnən mɛr vi mɛnʧn ɡəʃtˈarbn fin ˈɛfəktn farbˈindn ʦi də ˈatakəs in də nˈaxfalɡn fin də ˈatakəs.	0.292	True	False	False	False
57_166060_0000	train	bulletin_57	57	166060	57_166060_איראן'ס פרעזידענט  איראן איז גרייט מיטצוארבייטן מיט אמעריקא אין פאל אמ	1.1	4.15	3.05	6	דינסטאג נצבים וילך, איינס אזייגער נאכמיטאג.	dˈinstaɡ niʦˈuvim vaˈajiləx, ajns ˈazajɡər nˈaxmitaɡ.	0.5	False	False	True	False
57_166060_0001	train	bulletin_57	57	166060	57_166060_איראן'ס פרעזידענט  איראן איז גרייט מיטצוארבייטן מיט אמעריקא אין פאל אמ	4.1	14.05	9.95	29	איראן'ס פרעזידענט פעזעשקיאן האט היינט ווידער געמאלדן אז איראן איז גרייט מיטצוארבעטן מיט אמעריקע אין פאל אמעריקע קערט זיך צוריק צו די פארשטענדעניש אפמאך דערגרייכט פריער אין די יאר.	ˈirans prəzidˈɛnt fˈɛzəʃkian hut haːnt vˈidər ɡəmˈaldn az irˈan iz ɡrajt mˈitʦiarbətn mit amˈɛrikə in fal amˈɛrikə kɛrt zix ʦirˈik ʦi də farʃtˈɛndəniʃ ˈupmax dərɡrˈajxt frˈiər in də jur.	0.241	False	False	True	True
57_166060_0002	train	bulletin_57	57	166060	57_166060_איראן'ס פרעזידענט  איראן איז גרייט מיטצוארבייטן מיט אמעריקא אין פאל אמ	14.0	22.45	8.45	28	פעזעשקיאן זאגט אז ער וויל זאגן זייער קלאר און אפן אז אויב אמעריקע קומט נאך אירע פארפליכטונגען אונטער יענע אפמאך, וועט איראן גלייך רעאגירן אויף די זעלבע וועג.	fˈɛzəʃkian zuɡt az ɛr vil zuɡn zˈajər klur in afn az ɔjb amˈɛrikə kimt nux ˈirə farflˈixtinɡən ˈintər jˈɛnə ˈupmax, vɛt irˈan ɡlaːx rˈɛaɡirn oʊf də zˈɛlbə vejɡ.	0.179	False	False	True	True
57_166060_0003	train	bulletin_57	57	166060	57_166060_איראן'ס פרעזידענט  איראן איז גרייט מיטצוארבייטן מיט אמעריקא אין פאל אמ	22.4	31.65	9.25	28	פעזעשקיאן האט עס געמאלדן ביים סאמיט אין קירגיזסטאן פון די שאנכיי קאאפערעישאן ארגאניזאציע. דאס איז א סאמיט וואס נעמט אריין צווישן אנדערע, דער פירער פון רוסלאנד, אינדיע, טשיינע,	fˈɛzəʃkian hut ɛs ɡəmˈaldn bam sˈamit in kˈirɡizstan fin də ʃˈanxaj kˈaafərajʃan ˈarɡanizaʦiə. dus iz a sˈamit vus nɛmt arˈaːn ʦviʃn ˈandərə, dɛr fˈirər fin rˈusland, ˈindiə, ʧˈajnə,	0.393	False	False	True	False
57_166060_0004	train	bulletin_57	57	166060	57_166060_איראן'ס פרעזידענט  איראן איז גרייט מיטצוארבייטן מיט אמעריקא אין פאל אמ	31.6	32.52	0.92	2	און פאקיסטאן.	in fˈakistan.	0.5	False	False	True	False
57_166078_0000	train	bulletin_57	57	166078	57_166078_די אמעריקאנער מיליטער האט אינטערגענומען א פרישע רונדע באמבארדירונגן אק	1.1	3.75	2.65	6	דינסטאג נצבים וילך, איינס אזייגער נאכמיטאג.	dˈinstaɡ niʦˈuvim vaˈajiləx, ajns ˈazajɡər nˈaxmitaɡ.	0.5	False	False	True	False
