section	word	pointed	count	context	correct? (y/n)	correction
top-frequency	א	אַ	25321	מ'האלט מיר דא אין א מורא'דיגע שבת קודש. פרשת		
top-frequency	ער	עֶר	21188	אין פרשת תצוה, האט ער געזאגט אז ער וויל		
top-frequency	איז	אִיז	20445	אין די וואכעדיגע פרשה... איז באקאנט, אז די...		
top-frequency	די	דִּי	19814	משה רבינו'ס נאמען אין די וואכעדיגע פרשה... איז באקאנט,		
top-frequency	האט	הָאָט	17030	דער הייליגער חוזה האט אמאל געזאגט אהמ פרייטאג		
top-frequency	דער	דֶער	14034	דער הייליגער חוזה האט אמאל		
top-frequency	וואס	וואָס	12104	האלט, וואס איז פשט האט דער		
top-frequency	און	אוּן	10920	מען אים שוין ערלויבט און געגעבן רשות צו...		
top-frequency	פון	פֿוּן	10726	מען לאזט אים נישט פון הימל צו זאגן. שוין,		
top-frequency	מען	מֶען	10287	פרשת זכור. אוי קען מען רעדן א געוואלד, אוי		
top-frequency	אז	אַז	9639	וואכעדיגע פרשה... איז באקאנט, אז די...		
top-frequency	דעם	דֶעם	8036	צוזאמגענומען די נדבות פאר דעם משכן, דארט וועט געמנט		
top-frequency	דאס	דאָס	7707	צוזאמננעמען געלט צו באקאנטע דאס א סך מעשיות, ער		
top-frequency	זיך	זִיךְ	7561	פאר צדקה. און ווען זיך געקומען ווען מען האט		
top-frequency	נישט	נִישְׁט	7253	אבער מען לאזט אים נישט פון הימל צו זאגן.		
top-frequency	אין	אִין	7157	זכור. מ'האלט מיר דא אין א מורא'דיגע שבת קודש.		
top-frequency	איך	אִיךְ	6173	טאש, עפעס אריינגעריקט צווישן. איך נעם צוזאמען דאס געלט,		
top-frequency	פאר	פֿאַר	5719	מעשיות, ער פלעגט ארומלויפן פאר צוזאמננעמען גרויסע סכומים פאר		
top-frequency	זאגט	זאָגט	5649	לאזט נישט פון הימל זאגט מען נישט. שבת בייטאג		
top-frequency	מיט	מִיט	5240	אזעלכע גאלדענע קעסטעלעך אנגעפילט מיט גאלד, פאר יידישע קינדער,		
top-frequency	צו	צוּ	5110	אמאל געזאגט אהמ פרייטאג צו נאכטס אין פרשת תצוה,		
top-frequency	עס	עֶס	5097	דאס געלט, איך ברענג עס, דו האסט עס, עס		
top-frequency	דא	דאָ	4960	פרשת זכור. מ'האלט מיר דא אין א מורא'דיגע שבת		
top-frequency	געווען	גֶעוועֶן	4826	דאטט מאשע רבנו איז געווען א גוואלדיגער מאן דא.		
top-frequency	זיין	זייַן	4801	ער איז געוואלט דארטן זיין, ער האט געוואלט טאן		
top-frequency	אזוי	אַזוי	4725	די געלט פאר צדקה, אזוי ווי ער איז געוואלט		
top-frequency	אים	אִים	4635	תורה אבער מען לאזט אים נישט פון הימל צו		
top-frequency	יא	יאָ	3957	סך, א ים. תצוה... יא, ווי הייבט מען אן,		
top-frequency	געזאגט	גֶעזאָגט	3521	הייליגער חוזה האט אמאל געזאגט אהמ פרייטאג צו נאכטס		
top-frequency	ס'איז	ס'אִיז	3446	האט ער געזאגט, אז ס'איז דא איין סדרה וואס		
top-frequency	ווי	ווִי	3432	א ים. תצוה... יא, ווי הייבט מען אן, ס'שטייט		
top-frequency	אבער	אָבֶער	3236	וויל זאגן א תורה אבער מען לאזט אים נישט		
top-frequency	נאך	נאָך	2978	פארקויפן די שטיינער מאכן נאך א פאר דאלארן זאלן		
top-frequency	זאל	זאָל	2918	האבן גערעדט. מיין טאטע זאל זיין געזונט, א		
top-frequency	דאך	דאָך	2721	הייבט מען אן, ס'שטייט דאך, משה רבינו'ס נאמען אין		
top-frequency	מיר	מִיר	2674	תצוה פרשת זכור. מ'האלט מיר דא אין א מורא'דיגע		
top-frequency	שוין	שוֹין	2592	פון הימל צו זאגן. שוין, אז מען לאזט נישט		
top-frequency	האבן	האָבְן	2514	די, דאס וואס מיר האבן גערעדט. מיין טאטע זאל		
top-frequency	אויף	אוֹיף	2491	זיך מסר נפש זיין אויף קאסטן עס מיט גאפל		
top-frequency	קען	קֶען	2423	תצוה פרשת זכור. אוי קען מען רעדן א געוואלד,		
top-frequency	אן	אַן	2395	יא, ווי הייבט מען אן, ס'שטייט דאך, משה רבינו'ס		
top-frequency	מע	מֶע	2308	דאָס איבערזאָגן דאָ, ווײַל מע זאָגט דאָס איבער. איך		
top-frequency	ווען	ווֶען	2299	געלט פאר צדקה. און ווען זיך געקומען ווען מען		
top-frequency	וועט	ווֶעט	2281	דא איין סדרה וואס וועט נישט געמנט משה רבינו'ס		
top-frequency	דארט	דאָרט	2206	נדבות פאר דעם משכן, דארט וועט געמנט דער נאמען		
top-frequency	שטייט	שְׁטֵייט	2176	פריער, אין פרשת תרומה, שטייט מען האט צוזאמגענומען די		
top-frequency	גייט	גֵייט	2101	שם. און ברוך שם גייט ארויף אויף לעציד לבוא,		
top-frequency	נאר	נאָר	2061	מער ציטרעפנדע שטיינער, יא? נאר דאס אלע זענען געווען		
top-frequency	אזא	אַזָא	1938	חוזה האט געוואלט אראפברענגען אזא סדר, אז עס זאל		
top-frequency	שבת	שַׁבָּת	1918	דא אין א מורא'דיגע שבת קודש. פרשת תצוה פרשת		
top-frequency	זענען	זֶענֶען	1880	דאכט זיך אז דאס זענען די וערטער וואס ער		
top-frequency	אלע	אַלֶע	1875	איז דא שיטות פון אלע סארטן. ווי די זעקס		
top-frequency	זאגן	זאָגְן	1848	געזאגט אז ער וויל זאגן א תורה אבער מען		
top-frequency	דארף	דאַרף	1793	פון דריי מיליאן דאלער דארף ער זיך אפגעבן אויך		
top-frequency	האב	האָב	1737	זיך דיין לוין. איך האב ארויסבאלד, האב איך ארויסגעריקט,		
top-frequency	תורה	תּוֹרָה	1620	ער וויל זאגן א תורה אבער מען לאזט אים		
